TClient                   | 2025-10-04 20:54:12 | client          | line:  23 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-04 20:54:12 | logging         | line:  45 | INFO     | 11c8801519d3caeff8fbec43bf386f92 GetAccounts
TClient                   | 2025-10-04 23:52:31 | client          | line:  36 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-04 23:52:41 | client          | line:  39 | INFO     | Stopped client (stream_market_data and channel)
TClient                   | 2025-10-04 23:55:56 | client          | line:  43 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-04 23:56:06 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-04 23:56:06 | logging         | line:  45 | INFO     | 018798dd007a4ef13c2c15db2f93325e GetAccounts
TClient                   | 2025-10-04 23:56:06 | client          | line:  46 | INFO     | Stopped client (stream_market_data and channel)
TClient                   | 2025-10-05 00:16:51 | client          | line:  41 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-05 00:17:01 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-05 00:17:01 | logging         | line:  45 | INFO     | 0d1a27685181f8dbeca04572800f52f8 GetAccounts
TClient                   | 2025-10-05 00:17:01 | client          | line:  44 | INFO     | Stopping client (stream_market_data and channel)
TClient                   | 2025-10-05 00:17:01 | client          | line:  50 | INFO     | Stream stopping
TClient                   | 2025-10-08 19:45:58 | client          | line:  41 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 19:46:08 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-08 19:46:08 | logging         | line:  45 | INFO     | 16b42e0a0a1acde8d006e1de571556cd GetAccounts
TClient                   | 2025-10-08 19:46:08 | client          | line:  49 | INFO     | Stream stopping
TClient                   | 2025-10-08 19:46:08 | client          | line:  61 | INFO     | Stopping client (stream_market_data and channel)
TClient                   | 2025-10-08 20:31:17 | client          | line:  48 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 20:31:17 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-08 20:31:17 | logging         | line:  50 | ERROR    | 1bed1e4bd94afbe01e413eb2cf20a670 GetAccounts UNAUTHENTICATED 40003
TClient                   | 2025-10-08 20:32:06 | client          | line:  48 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 20:32:06 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-08 20:32:06 | logging         | line:  50 | ERROR    | 2abc80e66334ef32ed31b6bf8ffcca06 GetAccounts UNAUTHENTICATED 40003
TClient                   | 2025-10-08 20:32:56 | client          | line:  48 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 20:32:56 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-08 20:32:56 | logging         | line:  45 | INFO     | e92dd3a39c170f45859bf3392f77cd63 GetAccounts
TClient                   | 2025-10-08 20:32:56 | client          | line:  35 | DEBUG    | Getting portfolio
TClient                   | 2025-10-08 20:33:43 | client          | line:  48 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 20:33:43 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-08 20:33:43 | logging         | line:  45 | INFO     | 968656ac3e79269f0f91332ff8d5ca18 GetAccounts
TClient                   | 2025-10-08 20:33:43 | client          | line:  35 | DEBUG    | Getting portfolio
tinkoff.invest.logging    | 2025-10-08 20:33:43 | logging         | line:  45 | INFO     | 2b44f176347ff4804e6b276b69bef533 GetPortfolio
TClient                   | 2025-10-08 20:33:43 | client          | line:  56 | INFO     | Stream stopping
TClient                   | 2025-10-08 20:33:43 | client          | line:  68 | INFO     | Stopping client (stream_market_data and channel)
TClient                   | 2025-10-08 20:34:26 | client          | line:  48 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 20:34:26 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-08 20:34:26 | logging         | line:  45 | INFO     | c2cb62648192cb15b31a9acfe8a007fc GetAccounts
TClient                   | 2025-10-08 20:34:26 | client          | line:  35 | DEBUG    | Getting portfolio
tinkoff.invest.logging    | 2025-10-08 20:34:26 | logging         | line:  45 | INFO     | 1619cb8d223c9f9fdc48f02c6067d53b GetPortfolio
TClient                   | 2025-10-08 20:34:26 | client          | line:  56 | INFO     | Stream stopping
TClient                   | 2025-10-08 20:34:26 | client          | line:  68 | INFO     | Stopping client (stream_market_data and channel)
TClient                   | 2025-10-08 20:35:44 | client          | line:  48 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 20:35:44 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-08 20:35:44 | logging         | line:  50 | ERROR    | 3c6b564d7cae61ccec4540291e275e6f GetAccounts UNAUTHENTICATED 40003
TClient                   | 2025-10-08 20:44:24 | client          | line:  48 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 20:44:24 | client          | line:  24 | DEBUG    | Getting accounts
tinkoff.invest.logging    | 2025-10-08 20:44:24 | logging         | line:  45 | INFO     | 6cf4b1f108b399f6cf9f35f8e4ce7564 GetAccounts
TClient                   | 2025-10-08 20:44:24 | client          | line:  35 | DEBUG    | Getting portfolio
tinkoff.invest.logging    | 2025-10-08 20:44:24 | logging         | line:  45 | INFO     | 4efb4de1dbe653a4ada4eef04468b5c4 GetPortfolio
TClient                   | 2025-10-08 20:44:24 | client          | line:  35 | DEBUG    | Getting portfolio
tinkoff.invest.logging    | 2025-10-08 20:44:24 | logging         | line:  45 | INFO     | 759ca28703394d3b3a86f38dce98f531 GetPortfolio
TClient                   | 2025-10-08 20:44:24 | client          | line:  35 | DEBUG    | Getting portfolio
tinkoff.invest.logging    | 2025-10-08 20:44:24 | logging         | line:  45 | INFO     | fb8d6ed46842f76f2c4b6f394c1be972 GetPortfolio
TClient                   | 2025-10-08 20:44:24 | client          | line:  35 | DEBUG    | Getting portfolio
tinkoff.invest.logging    | 2025-10-08 20:44:24 | logging         | line:  45 | INFO     | 214a1312423c33cd78f2ddf38c0383ec GetPortfolio
TClient                   | 2025-10-08 20:44:24 | client          | line:  35 | DEBUG    | Getting portfolio
tinkoff.invest.logging    | 2025-10-08 20:44:24 | logging         | line:  45 | INFO     | b62e596f1728f09a3154f1445cf35132 GetPortfolio
TClient                   | 2025-10-08 20:44:24 | client          | line:  56 | INFO     | Stream stopping
TClient                   | 2025-10-08 20:44:24 | client          | line:  68 | INFO     | Stopping client (stream_market_data and channel)
TClient                   | 2025-10-08 21:00:45 | client          | line:  51 | INFO     | Started client (stream_market_data and channel)
TClient                   | 2025-10-08 21:00:45 | client          | line:  35 | DEBUG    | Getting favorite groups
